"edycja","woj","wiek","plec","N"
2011,2,1,0,150597
2011,2,1,1,163915
2011,2,2,0,239554
2011,2,2,1,222760
2011,2,3,0,281434
2011,2,3,1,288787
2011,2,4,0,322594
2011,2,4,1,272430
2011,4,1,0,127242
2011,4,1,1,96226
2011,4,2,0,142027
2011,4,2,1,180764
2011,4,3,0,212887
2011,4,3,1,198469
2011,4,4,0,230240
2011,4,4,1,194630
2011,6,1,0,115514
2011,6,1,1,120156
2011,6,2,0,171339
2011,6,2,1,161378
2011,6,3,0,218004
2011,6,3,1,194193
2011,6,4,0,227739
2011,6,4,1,188809
2011,8,1,0,58665
2011,8,1,1,51928
2011,8,2,0,80499
2011,8,2,1,81973
2011,8,3,0,102891
2011,8,3,1,103275
2011,8,4,0,114152
2011,8,4,1,94160
2011,10,1,0,157028
2011,10,1,1,120257
2011,10,2,0,179200
2011,10,2,1,199253
2011,10,3,0,242316
2011,10,3,1,241704
2011,10,4,0,296518
2011,10,4,1,239290
2011,12,1,0,199604
2011,12,1,1,173586
2011,12,2,0,233609
2011,12,2,1,257522
2011,12,3,0,341015
2011,12,3,1,347471
2011,12,4,0,327001
2011,12,4,1,256110
2011,14,1,0,254782
2011,14,1,1,184319
2011,14,2,0,377583
2011,14,2,1,425386
2011,14,3,0,429144
2011,14,3,1,472078
2011,14,4,0,458341
2011,14,4,1,401431
2011,16,1,0,46062
2011,16,1,1,43153
2011,16,2,0,72269
2011,16,2,1,77738
2011,16,3,0,115866
2011,16,3,1,117380
2011,16,4,0,127007
2011,16,4,1,101315
2011,18,1,0,121155
2011,18,1,1,110709
2011,18,2,0,183534
2011,18,2,1,148979
2011,18,3,0,208786
2011,18,3,1,226273
2011,18,4,0,215756
2011,18,4,1,174227
2011,20,1,0,82565
2011,20,1,1,69858
2011,20,2,0,83634
2011,20,2,1,76795
2011,20,3,0,128233
2011,20,3,1,119047
2011,20,4,0,125458
2011,20,4,1,113856
2011,22,1,0,115300
2011,22,1,1,115072
2011,22,2,0,173639
2011,22,2,1,184268
2011,22,3,0,235621
2011,22,3,1,230404
2011,22,4,0,253328
2011,22,4,1,181948
2011,24,1,0,198034
2011,24,1,1,190146
2011,24,2,0,300277
2011,24,2,1,358374
2011,24,3,0,435803
2011,24,3,1,451395
2011,24,4,0,499625
2011,24,4,1,418411
2011,26,1,0,74615
2011,26,1,1,64042
2011,26,2,0,85185
2011,26,2,1,90396
2011,26,3,0,135561
2011,26,3,1,123231
2011,26,4,0,148801
2011,26,4,1,112327
2011,28,1,0,77938
2011,28,1,1,76152
2011,28,2,0,118978
2011,28,2,1,109282
2011,28,3,0,150075
2011,28,3,1,147414
2011,28,4,0,162728
2011,28,4,1,120182
2011,30,1,0,168924
2011,30,1,1,178563
2011,30,2,0,265987
2011,30,2,1,271620
2011,30,3,0,333010
2011,30,3,1,358342
2011,30,4,0,374904
2011,30,4,1,289621
2011,32,1,0,78207
2011,32,1,1,88382
2011,32,2,0,161415
2011,32,2,1,119272
2011,32,3,0,167771
2011,32,3,1,179481
2011,32,4,0,198432
2011,32,4,1,152747
2012,2,1,0,153821
2012,2,1,1,160461
2012,2,2,0,230865
2012,2,2,1,206278
2012,2,3,0,289623
2012,2,3,1,294941
2012,2,4,0,314069
2012,2,4,1,250974
2012,4,1,0,121754
2012,4,1,1,122323
2012,4,2,0,156728
2012,4,2,1,154825
2012,4,3,0,212613
2012,4,3,1,207801
2012,4,4,0,208812
2012,4,4,1,165586
2012,6,1,0,130428
2012,6,1,1,113206
2012,6,2,0,167308
2012,6,2,1,165401
2012,6,3,0,214716
2012,6,3,1,210367
2012,6,4,0,207799
2012,6,4,1,163762
2012,8,1,0,59636
2012,8,1,1,63009
2012,8,2,0,76848
2012,8,2,1,66689
2012,8,3,0,105428
2012,8,3,1,106154
2012,8,4,0,108087
2012,8,4,1,84615
2012,10,1,0,139588
2012,10,1,1,132756
2012,10,2,0,197311
2012,10,2,1,166094
2012,10,3,0,240722
2012,10,3,1,270469
2012,10,4,0,269011
2012,10,4,1,215888
2012,12,1,0,190205
2012,12,1,1,173196
2012,12,2,0,265623
2012,12,2,1,283757
2012,12,3,0,337134
2012,12,3,1,322837
