"id","p"
"2011_2_0",0.5862
"2011_2_1",0.4987
"2011_4_0",0.6019
"2011_4_1",0.5193
"2011_6_0",0.5858
"2011_6_1",0.4985
"2011_8_0",0.595
"2011_8_1",0.4976
"2011_10_0",0.616
"2011_10_1",0.5545
"2011_12_0",0.5649
"2011_12_1",0.4854
"2011_14_0",0.6547
"2011_14_1",0.6069
"2011_16_0",0.5759
"2011_16_1",0.5022
"2011_18_0",0.5458
"2011_18_1",0.463
"2011_20_0",0.5592
"2011_20_1",0.4709
"2011_22_0",0.582
"2011_22_1",0.5205
"2011_24_0",0.6034
"2011_24_1",0.4714
"2011_26_0",0.5486
"2011_26_1",0.4572
"2011_28_0",0.578
"2011_28_1",0.4671
"2011_30_0",0.6563
"2011_30_1",0.5035
"2011_32_0",0.54
"2011_32_1",0.4352
"2012_2_0",0.6033
"2012_2_1",0.5092
"2012_4_0",0.58
"2012_4_1",0.4703
"2012_6_0",0.5406
"2012_6_1",0.5087
"2012_8_0",0.5785
"2012_8_1",0.4826
"2012_10_0",0.6198
"2012_10_1",0.5465
"2012_12_0",0.5774
"2012_12_1",0.493
"2012_14_0",0.6421
"2012_14_1",0.5953
"2012_16_0",0.6413
"2012_16_1",0.4981
"2012_18_0",0.5546
"2012_18_1",0.4576
"2012_20_0",0.574
"2012_20_1",0.4944
"2012_22_0",0.6534
"2012_22_1",0.5724
"2012_24_0",0.6009
"2012_24_1",0.4584
"2012_26_0",0.5197
"2012_26_1",0.4638
"2012_28_0",0.5324
"2012_28_1",0.4219
"2012_30_0",0.6414
"2012_30_1",0.5545
"2012_32_0",0.4841
"2012_32_1",0.4548
"2013_2_0",0.5705
"2013_2_1",0.5042
"2013_4_0",0.5827
"2013_4_1",0.4886
"2013_6_0",0.5351
"2013_6_1",0.5289
"2013_8_0",0.577
"2013_8_1",0.4846
"2013_10_0",0.6049
"2013_10_1",0.5587
"2013_12_0",0.5893
"2013_12_1",0.5146
"2013_14_0",0.6223
"2013_14_1",0.6616
"2013_16_0",0.6094
"2013_16_1",0.4996
"2013_18_0",0.5167
"2013_18_1",0.4476
"2013_20_0",0.5993
"2013_20_1",0.516
"2013_22_0",0.6535
"2013_22_1",0.6239
"2013_24_0",0.622
"2013_24_1",0.4828
"2013_26_0",0.5362
"2013_26_1",0.5285
"2013_28_0",0.5261
"2013_28_1",0.4697
"2013_30_0",0.6425
"2013_30_1",0.5552
"2013_32_0",0.548
"2013_32_1",0.5276
"2014_2_0",0.5921
"2014_2_1",0.5676
"2014_4_0",0.5905
"2014_4_1",0.4629
"2014_6_0",0.5331
"2014_6_1",0.5224
"2014_8_0",0.5668
"2014_8_1",0.4919
"2014_10_0",0.6074
"2014_10_1",0.5813
"2014_12_0",0.5939
"2014_12_1",0.5431
"2014_14_0",0.6564
"2014_14_1",0.6677
"2014_16_0",0.6231
"2014_16_1",0.4928
"2014_18_0",0.5471
"2014_18_1",0.4654
"2014_20_0",0.601
"2014_20_1",0.5162
"2014_22_0",0.6812
"2014_22_1",0.5501
"2014_24_0",0.5858
"2014_24_1",0.5227
"2014_26_0",0.5314
"2014_26_1",0.5109
"2014_28_0",0.5703
"2014_28_1",0.4878
"2014_30_0",0.6538
"2014_30_1",0.5324
"2014_32_0",0.5681
"2014_32_1",0.5274
