id_gosp;id_osoba;woj;klm;plec;internet;wyksz;nauka_lata;czy_praca;czy_pelny_etat;czy_rej_pup;dzieci;wiek
2;3;2;6;2;1;50;10;1;1;2;1;53
12;1;2;6;1;1;50;11;1;1;2;1;50
12;7;2;6;1;1;30;13;1;1;2;1;35
12;2;2;6;2;1;50;11;1;2;2;1;50
12;4;2;6;2;1;30;12;2;0;2;1;25
12;5;2;6;2;1;40;9;2;0;2;0;19
33;1;2;6;1;2;60;7;2;0;2;0;63
33;2;2;6;2;2;60;7;2;0;2;1;59
56;1;2;1;1;1;40;12;1;1;2;1;56
56;2;2;1;2;2;40;12;2;0;2;1;56
58;4;2;1;2;1;20;15;1;1;2;1;38
90;7;2;6;1;1;50;11;1;1;2;1;37
90;2;2;6;2;2;50;11;2;0;2;1;54
90;4;2;6;2;1;50;11;1;1;2;0;29
90;5;2;6;2;1;30;12;1;1;2;0;20
95;1;2;6;1;1;50;11;1;1;2;1;44
95;2;2;6;2;1;30;12;2;0;2;1;36
96;2;2;5;2;1;30;14;2;0;2;1;54
96;3;2;5;2;1;11;17;1;1;2;0;31
109;2;2;4;2;2;60;8;2;0;1;0;57
122;4;2;4;2;1;10;21;2;0;1;0;33
138;1;2;3;1;1;30;13;1;1;2;1;62
138;6;2;3;1;1;30;13;1;1;2;1;39
138;3;2;3;2;1;11;17;1;1;2;1;35
168;1;2;6;1;2;60;7;1;1;2;0;64
168;3;2;6;1;2;60;8;1;1;2;0;33
173;2;2;6;2;1;50;11;2;0;2;0;57
189;1;4;5;1;2;50;11;2;0;1;0;51
189;2;4;5;2;1;40;12;1;1;2;1;48
192;1;4;6;1;2;50;11;1;1;2;0;60
193;3;4;6;1;2;50;11;1;1;2;0;51
193;5;4;6;1;1;12;16;2;0;2;0;24
193;7;4;6;1;1;40;13;2;0;2;0;21
193;4;4;6;2;2;50;11;1;1;2;0;55
193;6;4;6;2;1;40;14;2;0;2;0;22
197;2;4;4;2;1;50;11;1;1;2;1;59
201;2;4;6;2;2;50;11;1;1;2;1;47
201;6;4;6;2;2;40;12;1;1;2;0;21
201;7;4;6;2;2;51;9;2;0;2;0;19
208;5;4;6;2;1;60;6;1;1;2;0;20
210;2;4;6;2;1;50;11;1;1;2;1;50
210;5;4;6;2;1;30;13;2;0;2;0;22
223;1;4;4;1;2;30;13;2;0;2;1;62
232;3;4;4;1;1;50;11;2;0;2;0;36
254;1;4;5;1;2;50;11;2;0;1;1;53
254;3;4;5;1;1;50;11;1;1;2;0;32
254;5;4;5;1;1;50;11;2;0;2;0;29
254;6;4;5;1;1;51;9;2;0;1;0;25
254;7;4;5;1;1;50;12;2;0;1;0;24
254;9;4;5;1;1;50;13;1;1;2;0;21
254;2;4;5;2;2;50;11;1;1;2;1;53
254;8;4;5;2;1;30;13;1;1;2;1;22
257;3;4;5;1;2;50;10;2;0;1;0;45
264;3;4;6;1;1;50;11;2;0;2;0;47
265;1;4;6;1;2;50;11;1;1;2;1;53
265;2;4;6;2;1;20;14;1;1;2;1;48
