n1;SYMBOL;ROUR;CZAS_AG;CZAS_AE;PI0;PI1A;PI1B;PI1C;PI2A;PI2B;PI2C;PI3A;PI3B;PI3C;PI4;PI5A;PI6A;PI5B;PI6B;PI5C;PI6C;PI5D;PI6D;PI5E;PI6E;PI5F;PI6F;PI5G;PI6G;PIM1;PIM2A;PIM2B;CZAS_AJ;CZAS_AH;PIM2BT1;PIM2BT2;PIM2BT3;PIM2BT4;PIM2BT5;PIM2BT6;PIM2BT7;PIM2BT8;survid;idenresp;respid;tydzien;databad;dzientyg;okregsmg;proba;ankieter;czaswmin;zgoda;kodgus;gmina;nts;powiat;region44;wojew49;wojew16;makrogus;region17;region7;ludnosc;klasawlk;wlkmsc4;wybrmta;plec;dataurod;rokurodz;zodiak;wiek;wiekco5;wiekco10;wiek4kat;plecwiek;stancyw;stancyw3;eduk12;eduk;eduk4;eduk4u;sytzaw;sytprc;sytdor;sytbez;syteme;sytucz;sytdom;syturl;sytinn;prac;prac1;isco2;isco;zawod;status;wlas;kier;dosobkat;dosobpln;wlkgosp;wlkgosp5;wlkgosp6;osob1575;dziecima;dzcisamo;faza_zyc;dzcigosp;dzci0002;dzci0306;dzci0714;dzci1517;dzre0002;dzre0306;dzre0714;dzre1517;dzre1824;dzre2560;ldzci00;ldzci01;ldzci02;ldzci03;ldzci04;ldzci05;ldzci06;ldzci07;ldzci08;ldzci09;ldzci10;ldzci11;ldzci12;ldzci13;ldzci14;ldzci15;ldzci16;ldzci17;ldzre00;ldzre01;ldzre02;ldzre03;ldzre04;ldzre05;ldzre06;ldzre07;ldzre08;ldzre09;ldzre10;ldzre11;ldzre12;ldzre13;ldzre14;ldzre15;ldzre16;ldzre17;ldzre18;ldzre19;ldzre20;ldzre21;ldzre22;ldzre23;ldzre24;ldzre25;ldzre26;ldzre27;ldzre28;ldzre29;ldzre30;ldzre31;ldzre32;ldzre33;ldzre34;ldzre35;ldzre36;ldzre37;ldzre38;ldzre39;ldzre40;ldzre41;ldzre42;ldzre43;ldzre44;ldzre45;ldzre46;ldzre47;ldzre48;ldzre49;ldzre50;ldzre51;ldzre52;ldzre53;ldzre54;ldzre55;ldzre56;ldzre57;ldzre58;ldzre59;ldzre60;dzieci00;dzieci01;dzieci02;dzieci03;dzieci04;dzieci05;dzieci06;dzieci07;dzieci08;dzieci09;dzieci10;dzieci11;dzieci12;dzieci13;dzieci14;dzieci15;dzieci16;dzieci17;dzcire00;dzcire01;dzcire02;dzcire03;dzcire04;dzcire05;dzcire06;dzcire07;dzcire08;dzcire09;dzcire10;dzcire11;dzcire12;dzcire13;dzcire14;dzcire15;dzcire16;dzcire17;dzcire18;dzcire19;dzcire20;dzcire21;dzcire22;dzcire23;dzcire24;dzcire25;dzcire26;dzcire27;dzcire28;dzcire29;dzcire30;dzcire31;dzcire32;dzcire33;dzcire34;dzcire35;dzcire36;dzcire37;dzcire38;dzcire39;dzcire40;dzcire41;dzcire42;dzcire43;dzcire44;dzcire45;dzcire46;dzcire47;dzcire48;dzcire49;dzcire50;dzcire51;dzcire52;dzcire53;dzcire54;dzcire55;dzcire56;dzcire57;dzcire58;dzcire59;dzcire60;pozycja;zakupy;g_kto;g_plec;g_wiek;g_wiek5;g_wiek10;g_eduk12;g_eduk;g_eduk4;g_eduk4u;g_sytzaw;g_sytprc;g_sytdor;g_sytbez;g_syteme;g_sytucz;g_sytdom;g_syturl;g_sytinn;g_prac;g_prac1;g_isco2;g_isco;g_zawod;g_status;g_wlas;g_kier;d_kto;d_plec;d_wiek;d_wiek5;d_wiek10;d_eduk12;d_eduk;d_eduk4;d_eduk4u;d_sytzaw;d_sytprc;d_sytdor;d_sytbez;d_syteme;d_sytucz;d_sytdom;d_syturl;d_sytinn;d_prac;d_prac1;d_isco2;d_isco;d_zawod;d_status;d_wlas;d_kier;klasspol;dgospkat;dgosppln;dnaospln;dnaoskat;sytmat;gosppies;gosp_kot;gosp_tel;gospkomo;gospkomp;gosp_cd;gosp_vcr;gospogro;gospweek;tv_kabel;tv_satel;gospsmch;smch_ile;smchsegm;smchmark;smchmodl;jezykczy;jezykjak;jezykang;jezyknie;jezykfra;jezykros;os01rour;os01plec;os01pokr;os01wiek;os02rour;os02plec;os02pokr;os02wiek;os03rour;os03plec;os03pokr;os03wiek;os04rour;os04plec;os04pokr;os04wiek;os05rour;os05plec;os05pokr;os05wiek;os06rour;os06plec;os06pokr;os06wiek;os07rour;os07plec;os07pokr;os07wiek;os08rour;os08plec;os08pokr;os08wiek;os09rour;os09plec;os09pokr;os09wiek;os10rour;os10plec;os10pokr;os10wiek;os11rour;os11plec;os11pokr;os11wiek;os12rour;os12plec;os12pokr;os12wiek;WAGAPRB;WAGAPOP;WGOSPPRB;WGOSPPOP;Q1;Q2;Q3
173081;OMNI05C/2011v3;1949;1646:19;1646:19;2;2;2;2;9;9;9;2;2;2;9;9;9;9;9;2;9;9;9;9;9;9;9;9;9;9;9;9;1646:25;1646:25; ; ; ; ; ; ; ; ;11R-000-5C;06-5940-060;11R-000-5C*06-5940-060;594;20110520;5;6;2;60905;25;1;27363;2415021;5.2.24.49.15.02.1;2415;45;27;24;3;4;4;18;3;2;99;1;19370912;1937;7;73;12;7;4;4;3;2;4;3;2;2;4;0;0;0;1;0;0;0;0;1;1;71;7113;5;7;1;2;98;99998;2;1;2;2;1;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;1;73;12;7;4;3;2;2;4;0;0;0;1;0;0;0;0;1;1;71;7113;5;7;1;2;2;2;62;10;6;4;3;2;2;4;0;0;0;1;0;0;0;0;1;1;98;9998;5;7;1;2;3;1;100;50;1;3;1;0;1;0;0;0;0;1;0;0;1;0;0;99;99;9999;2;0;0;0;0;0;1937;1;0;73;1949;2;1;62;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;1,03216494343196;31068,49432943;1,3268905368;18719,617065;2;9;9
173781;OMNI05C/2011v3;1981;1556:23;1556:23;2;2;2;2;9;9;9;2;2;2;9;9;9;9;9;2;9;9;9;9;9;9;9;9;9;9;9;9;1556:44;1556:44; ; ; ; ; ; ; ; ;11R-000-5C;13-5940-018;11R-000-5C*13-5940-018;594;20110522;7;13;2;130170;36;1;79149;2806011;5.6.28.55.06.01.1;2806;37;79;28;6;1;2;29;4;2;99;1;19810206;1981;12;30;4;3;2;2;1;1;2;2;1;1;3;0;0;1;0;0;0;0;0;1;1;93;9313;8;9;2;2;0;0;2;1;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;2;66;11;6;2;2;1;1;4;0;0;0;1;0;0;0;0;2;2;99;9999;99;7;9;9;3;2;66;11;6;2;2;1;1;4;0;0;0;1;0;0;0;0;2;2;99;9999;99;7;9;9;5;1;100;50;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;99;99;9999;2;0;0;0;0;0;1945;2;3;66;1981;1;0;30;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;,64469219775649;19405,44097887;,7429485076;10481,430967;2;9;9
173821;OMNI05C/2011v3;1956;1841:44;1841:44;2;2;2;2;9;9;9;2;2;2;9;9;9;9;9;2;9;9;9;9;9;9;9;9;9;9;9;9;1841:53;1841:53; ; ; ; ; ; ; ; ;11R-000-5C;13-5940-022;11R-000-5C*13-5940-022;594;20110522;7;13;2;130170;35;2;79149;2806011;5.6.28.55.06.01.1;2806;37;79;28;6;1;2;29;4;2;99;1;19561114;1956;9;54;8;5;3;3;4;3;4;3;2;2;1;1;0;0;0;0;0;0;0;1;9;72;7212;7;4;2;2;1;100;1;1;1;1;1;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;1;54;8;5;4;3;2;2;1;1;0;0;0;0;0;0;0;1;9;72;7212;7;4;2;2;1;1;54;8;5;4;3;2;2;1;1;0;0;0;0;0;0;0;1;9;72;7212;7;4;2;2;4;1;100;100;1;2;0;0;0;1;0;0;0;0;0;0;1;1;1;1;18;1872;1;0;0;0;0;1;1956;1;0;54;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;1,01517350141195;30557,04649989;,7429485076;10481,430967;2;9;9
174161;OMNI05C/2011v3;1982;1450:49;1450:49;1;2;2;2;9;9;9;1;2;1;2;2;9;2;9;2;9;2;9;1;2;2;9;2;9;1;1;2;1451:35;1451:35; ; ; ; ; ; ; ; ;11R-000-5C;31-5940-011;11R-000-5C*31-5940-011;594;20110521;6;31;1;310754;60;2;1227;1421021;5.1.14.30.21.02.1;1421;20;1;14;1;15;1;57;5;2;99;2;19820329;1982;2;29;3;2;2;6;3;2;11;9;4;4;1;1;0;0;0;0;0;0;0;1;9;52;5220;6;4;2;2;98;99998;3;2;3;2;1;2;5;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;2;29;3;2;11;9;4;4;1;1;0;0;0;0;0;0;0;1;9;52;5220;6;4;2;2;1;2;29;3;2;11;9;4;4;1;1;0;0;0;0;0;0;0;1;9;52;5220;6;4;2;2;4;1;100;33;1;4;0;0;0;1;1;1;0;0;0;0;1;1;2;2;62;6218;1;4;3;0;0;0;1980;1;1;31;1982;2;0;29;2007;2;2;3;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;,90475033041758;27233,27379892;,762645587;10759,315068;1;2;2
174181;OMNI05C/2011v3;1977;1850:20;1850:20;1;2;2;2;9;9;9;1;1;1;1;2;9;2;9;1;2;2;9;1;2;2;9;2;9;1;1;2;1851:23;1851:23; ; ; ; ; ; ; ; ;11R-000-5C;31-5940-009;11R-000-5C*31-5940-009;594;20110521;6;31;1;310754;60;2;1227;1421021;5.1.14.30.21.02.1;1421;20;1;14;1;15;1;57;5;2;99;2;19820331;1982;2;29;3;2;2;6;3;2;6;5;3;3;1;1;0;0;0;0;0;0;0;1;9;34;3433;3;2;2;2;98;99998;2;1;2;2;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;2;29;3;2;6;5;3;3;1;1;0;0;0;0;0;0;0;1;9;34;3433;3;2;2;2;1;2;29;3;2;6;5;3;3;1;1;0;0;0;0;0;0;0;1;9;34;3433;3;2;2;2;2;1;100;50;1;4;1;0;0;1;1;0;0;1;0;0;1;1;2;3;68;6840;1;4;3;0;0;0;1980;1;1;30;1982;2;0;29;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;,90475033041758;27233,27379892;1,3633418442;19233,867863;1;2;2
174261;OMNI05C/2011v3;1985;1143:56;1143:56;2;2;2;2;9;9;9;2;2;2;9;9;9;9;9;1;3;9;9;9;9;9;9;9;9;9;9;9;1144:43;1144:43; ; ; ; ; ; ; ; ;11R-000-5C;17-5940-005;11R-000-5C*17-5940-005;594;20110522;7;17;2;170193;25;2;3101;661011;5.3.06.09.61.01.1;661;7;3;6;7;8;2;58;5;2;99;1;19850404;1985;2;26;3;2;2;2;3;2;6;5;3;3;1;1;0;0;0;0;0;0;0;1;9;41;4190;4;2;2;2;98;99998;4;3;4;2;1;2;4;2;1;1;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;1;26;3;2;6;5;3;3;1;1;0;0;0;0;0;0;0;1;9;41;4190;4;2;2;2;1;1;26;3;2;6;5;3;3;1;1;0;0;0;0;0;0;0;1;9;41;4190;4;2;2;2;2;1;100;25;1;3;0;0;0;1;1;1;0;0;0;1;0;0;0;99;99;9999;2;0;0;0;0;0;1985;1;0;26;1986;2;1;25;2006;2;2;4;2011;1;2;0;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;,7255856298201;21840,35911026;1,0533071241;14859,93416;1;3;2
174291;OMNI05C/2011v3;1958;1414:22;1414:22;2;2;2;2;9;9;9;2;2;2;9;9;9;9;9;2;9;9;9;9;9;9;9;9;9;9;9;9;1414:48;1414:48; ; ; ; ; ; ; ; ;11R-000-5C;17-5940-006;11R-000-5C*17-5940-006;594;20110522;7;17;2;170193;19;2;3101;661011;5.3.06.09.61.01.1;661;7;3;6;7;8;2;58;5;2;99;1;19581122;1958;10;52;8;5;3;3;3;2;4;3;2;2;1;1;0;0;0;0;0;0;0;1;9;71;7129;7;4;2;2;98;99998;7;5;6;7;1;1;7;0;0;0;0;2;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;1;52;8;5;4;3;2;2;1;1;0;0;0;0;0;0;0;1;9;71;7129;7;4;2;2;1;1;52;8;5;4;3;2;2;1;1;0;0;0;0;0;0;0;1;9;71;7129;7;4;2;2;4;1;100;14;1;2;0;0;1;1;0;0;0;0;0;0;1;0;0;99;99;9999;2;0;0;0;0;0;1958;2;1;53;1958;1;0;52;1983;1;2;27;1984;1;2;26;1990;2;2;21;1994;1;2;16;1995;2;2;15;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;,98164222618137;29547,74441015;,565805371;7982,316239;2;9;9
174301;OMNI05C/2011v3;1967;1440:58;1440:58;2;2;2;2;9;9;9;2;2;2;9;9;9;9;9;2;9;9;9;9;9;9;9;9;9;9;9;9;1441:22;1441:22; ; ; ; ; ; ; ; ;11R-000-5C;17-5940-002;11R-000-5C*17-5940-002;594;20110522;7;17;2;170193;15;2;3101;661011;5.3.06.09.61.01.1;661;7;3;6;7;8;2;58;5;2;99;1;99999998;1967;98;43;6;4;3;3;3;2;4;3;2;2;1;1;0;0;0;0;0;0;0;1;9;72;7231;7;4;2;2;98;99998;4;3;4;3;1;2;6;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;1;43;6;4;4;3;2;2;1;1;0;0;0;0;0;0;0;1;9;72;7231;7;4;2;2;2;2;43;6;4;7;6;3;3;6;0;0;0;0;0;1;0;0;1;1;52;5220;6;10;2;2;4;1;100;25;1;3;1;0;1;1;1;1;0;0;0;0;1;0;0;99;99;9999;2;0;0;0;0;0;1967;1;0;43;1968;2;1;43;1993;1;2;18;1997;2;2;13;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;,69364982771446;20879,08127096;1,0533071241;14859,93416;2;9;9
175371;OMNI05C/2011v3;1960;1838:24;1838:24;2;2;2;2;9;9;9;2;2;2;9;9;9;9;9;2;9;9;9;9;9;9;9;9;9;9;9;9;1839:02;1839:02; ; ; ; ; ; ; ; ;11R-000-5C;41-5940-009;11R-000-5C*41-5940-009;594;20110520;5;41;1;410016;25;1;29521;2607032;5.3.26.52.07.03.2;2607;34;29;26;8;5;3;14;1;1;99;1;19600120;1960;12;51;8;5;3;3;4;3;5;4;3;1;1;1;0;0;0;0;0;0;0;1;9;61;6130;9;6;1;2;98;99998;2;1;2;1;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;1;51;8;5;5;4;3;1;1;1;0;0;0;0;0;0;0;1;9;61;6130;9;6;1;2;1;1;51;8;5;5;4;3;1;1;1;0;0;0;0;0;0;0;1;9;61;6130;9;6;1;2;6;1;100;50;1;3;1;1;1;0;1;1;1;1;1;0;1;0;0;99;99;9999;1;0;1;0;0;0;1935;2;3;76;1960;1;0;51;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;1,27086364476164;38253,40144713;1,056854282;14909,977052;1;1;2
175381;OMNI05C/2011v3;1973;1156:42;1156:42;1;2;2;2;9;9;9;2;2;2;9;2;9;2;9;2;9;2;9;1;3;2;9;2;9;1;1;2;1158:36;1158:36; ; ; ; ; ; ; ; ;11R-000-5C;41-5940-010;11R-000-5C*41-5940-010;594;20110521;6;41;1;410016;50;1;29521;2607032;5.3.26.52.07.03.2;2607;34;29;26;8;5;3;14;1;1;99;2;19731123;1973;10;37;5;3;2;6;3;2;11;9;4;4;1;1;0;0;0;0;0;0;0;1;9;24;2411;2;1;2;2;98;99998;3;2;3;2;1;2;4;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;1;37;5;3;6;5;3;3;1;1;0;0;0;0;0;0;0;1;9;31;3115;5;3;1;1;1;2;37;5;3;11;9;4;4;1;1;0;0;0;0;0;0;0;1;9;24;2411;2;1;2;2;1;1;100;33;1;4;1;0;1;1;1;1;0;1;0;0;1;1;2;3;80;8000;1;3;2;0;0;0;1973;1;1;37;1973;2;0;37;2009;2;2;2;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;9999;9;9;99;1,06035332633648;31916,97365436;1,0001865355;14110,515087;1;5;9
