"";"bank";"wojewodztwo";"klm";"plec";"wiek";"wielkosc_gosp";"edukacja";"stan_cywilny";"typ_gosp"
"1";3;1;6;2;53;2;2;2;5
"2";3;1;6;1;50;7;2;2;6
"3";4;1;6;1;35;7;3;2;6
"4";4;1;6;2;25;7;3;2;6
"5";3;1;6;2;50;7;2;2;6
"6";3;1;6;2;59;2;1;2;1
"7";5;1;1;1;56;2;3;2;1
"8";1;1;1;2;38;4;4;2;3
"9";1;1;1;2;63;2;1;2;1
"10";6;1;1;2;66;1;4;4;7
"11";1;1;1;2;66;1;4;4;7
"12";6;1;6;2;29;7;2;1;2
"13";6;1;6;1;37;7;2;2;2
"14";6;1;6;2;20;7;3;1;2
"15";6;1;6;2;54;7;2;3;2
"16";1;1;5;2;86;1;1;3;7
"17";3;1;6;1;44;5;2;2;4
"18";4;1;5;2;31;3;4;1;5
"19";4;1;5;2;54;3;3;3;5
"20";3;1;4;1;65;2;1;4;1
"21";2;1;4;2;66;1;3;3;7
"22";3;1;5;1;76;2;3;2;1
"23";3;1;5;2;69;2;2;2;1
"24";4;1;4;2;33;2;4;1;5
"25";4;1;3;1;62;5;3;3;3
"26";1;1;3;1;39;5;3;2;3
"27";4;1;3;2;35;5;4;2;3
"28";4;1;6;2;57;2;2;2;1
"29";6;2;5;2;48;2;3;2;1
"30";6;2;5;2;74;1;1;3;7
"31";6;2;6;1;60;1;2;1;7
"32";6;2;6;1;51;5;2;2;4
"33";6;2;6;2;55;5;2;2;4
"34";3;2;4;2;59;2;2;2;1
"35";3;2;6;2;21;3;3;1;5
"36";3;2;6;2;47;3;2;5;5
"37";3;2;6;2;70;1;4;3;7
"38";3;2;6;2;50;3;2;5;5
"39";2;2;4;2;60;1;2;4;7
"40";1;2;4;1;77;2;4;2;1
"41";3;2;4;2;62;2;3;2;1
"42";4;2;4;1;68;2;3;2;1
"43";4;2;4;2;62;2;2;2;1
"44";1;2;4;1;36;1;2;1;7
"45";4;2;5;2;74;1;3;3;7
"46";3;2;5;1;78;2;2;2;1
"47";3;2;5;2;72;2;1;2;1
"48";2;2;5;2;68;3;2;3;5
"49";3;2;6;2;48;5;4;2;4
"50";3;2;6;1;53;5;2;2;4
"51";3;2;6;2;26;5;4;1;4
"52";3;2;6;2;21;5;3;1;4
"53";3;2;6;2;79;4;1;3;2
"54";6;2;6;1;50;2;3;2;1
"55";6;2;6;2;47;2;3;2;1
"56";6;2;6;1;52;5;4;2;6
"57";6;2;6;2;36;5;4;2;6
"58";3;2;6;2;59;2;2;2;1
"59";3;2;6;1;59;2;2;2;1
"60";1;2;6;1;71;3;1;2;2
"61";6;2;5;1;54;6;2;2;4
"62";1;2;5;1;23;6;2;1;4
"63";6;2;5;2;50;6;1;2;4
"64";1;2;5;2;20;6;2;1;4
"65";3;2;5;2;71;4;1;3;2
"66";3;2;5;2;49;4;2;2;2
"67";3;2;5;1;50;4;3;2;2
"68";1;2;5;2;21;4;3;1;2
"69";1;2;6;1;35;7;2;1;6
"70";3;2;6;1;60;2;1;2;1
"71";3;2;6;2;56;2;1;2;1
"72";1;2;6;2;54;2;3;2;1
"73";1;2;6;1;54;2;3;2;1
"74";3;2;6;1;49;4;3;2;3
"75";3;2;6;2;40;4;3;2;3
"76";1;2;2;1;47;4;2;2;3
"77";1;2;2;1;24;4;3;1;3
"78";1;2;2;2;21;4;2;1;3
"79";6;2;2;2;74;1;3;1;7
"80";1;2;2;1;30;5;4;1;6
"81";2;2;2;2;29;5;4;2;6
"82";6;2;2;1;38;7;4;2;4
"83";2;2;2;2;35;7;3;2;4
"84";6;2;3;2;69;1;3;3;7
"85";3;3;6;2;38;5;4;2;4
"86";6;3;6;2;17;5;2;1;4
"87";6;3;5;1;57;2;3;2;1
"88";6;3;5;2;59;2;4;2;1
"89";1;3;5;2;56;2;2;2;1
"90";3;3;6;2;36;4;3;4;2
"91";6;3;6;2;56;4;1;2;2
"92";1;3;5;2;31;4;4;1;3
"93";6;3;5;2;42;4;2;1;3
"94";3;3;5;2;67;4;1;2;3
"95";2;3;6;2;65;2;2;3;5
"96";2;3;6;1;50;5;3;2;3
"97";2;3;6;2;29;5;4;1;3
"98";2;3;6;1;85;5;1;3;3
"99";2;3;6;2;48;5;3;2;3
"100";1;3;4;2;69;1;1;3;7
"101";3;3;6;1;56;6;2;2;6
"102";3;3;6;2;45;6;2;2;6
"103";3;3;6;1;29;6;3;2;6
"104";3;3;6;2;24;6;3;2;6
"105";6;3;6;2;34;3;4;2;1
"106";3;3;6;1;36;3;3;2;1
"107";3;3;6;2;79;3;1;3;1
"108";6;3;4;1;27;2;4;1;5
"109";3;3;6;1;58;2;1;2;1
"110";2;3;6;2;52;2;2;2;1
"111";1;3;4;2;81;1;3;3;7
"112";1;3;4;2;66;2;3;4;5
"113";1;3;4;2;98;2;1;3;5
"114";6;3;2;1;56;4;4;2;3
"115";1;3;2;1;27;4;4;1;3
"116";1;3;2;2;24;4;4;1;3
"117";2;3;2;1;64;2;4;2;1
"118";2;3;2;2;65;2;3;2;1
"119";2;3;2;1;39;3;3;2;2
"120";2;3;2;2;40;3;4;2;2
"121";2;3;2;2;62;3;2;1;5
"122";2;3;2;1;31;3;3;1;5
"123";1;3;2;2;77;1;4;3;7
"124";6;3;2;2;51;4;3;2;6
"125";1;3;2;2;28;4;4;4;6
"126";6;3;2;1;54;4;2;2;6
"127";1;3;2;1;54;1;2;3;7
"128";1;3;2;2;57;3;3;2;3
"129";1;3;2;2;30;3;4;1;3
"130";1;3;2;1;52;3;4;2;3
"131";4;3;4;1;66;3;4;2;2
"132";6;3;4;2;37;3;4;1;2
"133";6;4;6;1;39;5;2;2;3
"134";6;4;6;2;42;4;2;2;3
"135";6;4;6;1;48;4;2;2;3
"136";1;4;5;2;80;2;2;3;5
"137";1;4;6;2;77;1;1;3;7
"138";1;4;5;1;74;2;3;2;1
"139";1;4;5;2;70;2;3;2;1
"140";1;4;6;1;38;7;4;1;2
"141";6;4;6;1;35;7;3;2;2
"142";6;4;6;2;36;7;3;2;2
"143";6;4;6;2;50;4;2;2;3
"144";6;4;6;1;54;4;2;2;3
"145";1;4;5;1;52;4;2;2;3
"146";2;4;5;2;43;4;2;2;3
"147";4;4;4;1;32;4;4;2;6
"148";4;4;4;2;31;4;4;2;6
"149";4;4;4;2;54;4;3;3;6
"150";3;4;5;2;58;1;4;1;7
"151";4;4;5;1;39;3;4;2;5
"152";6;4;5;2;52;2;2;2;2
"153";2;4;6;2;61;2;2;2;1
"154";1;4;6;1;63;2;2;2;1
"155";1;4;6;2;25;7;4;1;6
"156";1;4;6;1;28;7;3;2;6
"157";4;4;6;2;52;7;2;2;6
"158";6;4;4;1;52;2;2;2;1
"159";6;4;4;2;51;2;3;2;1
"160";4;4;6;1;64;6;2;2;6
"161";4;4;6;1;31;6;2;2;6
"162";4;4;6;2;26;6;3;2;6
"163";6;4;5;1;63;3;2;2;2
"164";1;4;6;1;25;1;3;1;7
"165";2;4;4;1;73;1;2;4;6
"166";4;4;4;2;61;1;3;4;7
"167";1;4;6;2;54;1;3;4;7
"168";6;4;3;1;65;2;2;2;1
"169";2;4;3;2;56;2;1;2;1
"170";6;4;3;1;83;2;4;2;8
"171";6;4;3;2;74;2;3;2;8
"172";2;4;3;1;71;2;3;2;1
"173";1;4;3;2;66;2;3;2;1
"174";4;4;3;2;42;2;4;4;5
"175";4;4;3;1;21;2;3;1;5
"176";4;4;3;2;59;1;4;3;7
"177";5;4;3;2;55;2;4;1;5
"178";5;4;3;2;25;2;4;1;5
"179";6;4;3;1;70;2;3;2;1
"180";6;4;3;2;67;2;3;2;1
"181";1;4;3;2;50;3;3;2;2
"182";2;4;3;1;27;3;4;1;2
"183";6;4;3;1;53;4;3;2;3
"184";6;4;3;2;56;4;3;2;3
"185";6;4;3;2;22;4;3;1;3
"186";6;4;3;1;20;4;3;1;3
"187";3;5;6;1;67;2;1;2;1
"188";6;5;6;2;33;10;2;2;6
"189";6;5;6;1;37;10;2;2;6
"190";6;5;6;1;34;10;2;1;6
"191";6;5;4;2;74;2;1;3;5
"192";6;5;6;2;70;1;1;3;7
"193";3;5;6;2;79;2;1;2;1
"194";3;5;6;1;60;6;3;2;4
"195";3;5;6;1;23;6;3;1;4
"196";3;5;6;2;47;6;1;2;4
"197";3;5;6;2;44;4;3;2;3
"198";1;5;4;2;63;2;3;2;1
"199";6;5;4;1;63;2;3;2;1
"200";6;5;6;1;44;3;4;2;2
"201";1;5;6;2;44;3;2;2;2
"202";6;5;6;2;18;3;2;1;2
"203";3;5;6;2;71;1;3;3;7
"204";3;5;6;2;65;1;2;3;7
"205";2;5;4;1;58;3;4;2;2
"206";2;5;4;2;20;3;2;1;2
"207";3;5;6;2;57;3;4;2;2
"208";3;5;6;1;58;3;2;2;2
"209";6;5;6;2;18;3;2;1;2
"210";6;5;6;1;67;4;3;2;3
"211";6;5;6;1;36;4;3;1;3
"212";1;5;1;1;32;3;3;1;1
"213";1;5;1;2;29;3;4;1;1
"214";6;5;1;2;57;3;3;3;1
"215";2;5;1;2;49;1;3;4;7
"216";1;5;1;2;77;2;1;2;6
"217";1;5;6;2;60;2;2;2;1
"218";5;6;6;2;34;6;4;2;6
"219";6;6;6;2;56;6;4;2;6
"220";6;6;6;1;55;6;3;2;6
"221";1;6;6;2;36;5;2;2;4
"222";3;6;6;2;62;2;4;2;1
"223";3;6;6;2;47;7;2;2;4
"224";4;6;6;1;23;7;3;1;4
"225";3;6;6;1;56;7;2;2;4
"226";3;6;6;1;56;6;2;2;4
"227";3;6;6;2;48;6;2;2;4
"228";6;6;6;1;49;3;1;2;2
"229";6;6;6;2;42;3;2;2;2
"230";3;6;6;1;49;8;1;2;6
"231";5;6;6;1;23;8;4;1;6
"232";5;6;6;2;21;8;3;1;6
"233";2;6;4;1;64;2;3;2;1
"234";2;6;4;2;61;2;2;2;1
"235";2;6;6;1;46;6;3;2;6
"236";6;6;6;1;25;5;2;1;3
"237";6;6;6;1;23;5;2;1;3
"238";6;6;6;2;47;5;2;2;3
"239";6;6;1;2;77;1;4;3;7
"240";6;6;1;2;54;1;4;1;7
"241";6;6;1;2;85;3;3;3;5
