dwelling_id;trans_date;trans_dwelling_rooms;trans_dwelling_floor_area;trans_dwelling_storey;trans_dwelling_spaces;trans_dwelling_spaces_floor_area;trans_dwelling_price;trans_dwelling_price_m2;lon;lat;pzn_precinct;pzn_district
03836_02325;2008-01-02;3;49.6;;;;275000;5544.35;16.8876363;52.3935894;Sw. Lazarz;Grunwald
05998_10489;2008-01-02;3;46.9;;;;260000;5543.71;16.961624;52.4095279;Ostrow Tumski-Srodka-Zawady-Komandoria;Stare Miasto
00037_10997;2008-01-02;4;67.39;;1;7.4;150000;2225.85;16.988324;52.411761;Warszawskie-Pomet-Maltanskie;Stare Miasto
00038_11098;2008-01-02;2;34.7;0;4;20.3;120000;3458.21;16.990002;52.4075599;Warszawskie-Pomet-Maltanskie;Stare Miasto
08962_00377;2008-01-03;5;79.35;2;;;150000;1890.36;16.9250769;52.424675;Stare Winogrady;Nowe Miasto
04164_01761;2008-01-03;7;180;;;;950000;5277.78;16.8976118;52.3987916;Sw. Lazarz;Grunwald
08031_01920;2008-01-03;4;51.6;2;;9.4;464400;9000;16.938246;52.405788;Stare Miasto;Nowe Miasto
01043_02109;2008-01-03;1;35.7;;;;210000;5882.35;16.8984853;52.4190786;Jezyce;Jezyce
05366_02926;2008-01-03;2;26.4;;;;320000;12121.21;16.8749249;52.409143;Grunwald Polnoc;Grunwald
09005_04875;2008-01-03;2;30.8;2;;;252000;8181.82;16.9216859;52.4349969;Nowe Winogrady Poludnie;Nowe Miasto
08641_05252;2008-01-03;4;58.8;1;;;420000;7142.86;16.916346;52.4284706;Winiary;Jezyce
01155_05769;2008-01-03;3;47.43;;1;6.09;26000;548.18;16.9053846;52.4130465;Jezyce;Jezyce
12064_10215;2008-01-03;3;39.6;;;;165000;4166.67;16.9150384;52.3893058;Wilda;Wilda
01995_01104;2008-01-04;3;47.5;;;;250000;5263.16;16.881843;52.4151669;Ogrody;Jezyce
03208_01466;2008-01-04;2;29.21;;;;120000;4108.18;16.8900714;52.3843217;Gorczyn;Grunwald
01826_01965;2008-01-04;2;46.9;3;;;315000;6716.42;16.907556;52.4142361;Jezyce;Jezyce
09671_02814;2008-01-04;3;49.3;3;1;4.6;274000;5557.81;16.9254179;52.4578263;Piatkowo;Nowe Miasto
09936_02851;2008-01-04;3;44.7;0;1;4.2;320000;7158.84;16.8995843;52.4588818;Piatkowo;Nowe Miasto
00649_03136;2008-01-04;3;46.9;2;1;3.85;318000;6780.38;16.8715919;52.4470523;Strzeszyn;Jezyce
00552_03211;2008-01-04;3;38.9;;1;8;320000;8226.22;16.8720525;52.447498;Strzeszyn;Jezyce
09964_03238;2008-01-04;3;43.8;3;1;5.7;263000;6004.57;16.8990299;52.4595132;Piatkowo;Nowe Miasto
02187_03945;2008-01-04;4;86.4;1;1;17.3;731200;8462.96;16.8714799;52.457738;Podolany;Jezyce
03983_04796;2008-01-04;3;31.4;0;1;2.4;200000;6369.43;16.8982096;52.3915852;Sw. Lazarz;Grunwald
06140_10031;2008-01-04;2;45.5;;;;373000;8197.8;16.9594059;52.3992049;Rataje;Stare Miasto
